"","District","Income Stream","Cohort","Year","Amount","Status"
"410","Ruk","Remit and Gifts Income","2019","Year 1","25.89","RTV"
"411","Kisoro","Remit and Gifts Income","2018","Year 1",NA,"RTV"
"412","Kanungu","Remit and Gifts Income","2018","Year 1",NA,"RTV"
"413","Kisoro","Rent Income","2018","Year 1","0.86","RTV"
"414","Kanungu","Rent Income","2018","Year 1","1.1499999999999999","RTV"
"415","Kisoro","Rent Income","2019","Year 1","1.1100000000000001","RTV"
"416","Kanu","Rent Income","2019","Year 1","1.81","RTV"
"417","Ruk","Rent Income","2019","Year 1","0.86","RTV"
"418","Kisoro","Rent Income","2020","Year 1","3.65","RTV"
"419","Kanu","Rent Income","2020","Year 1","5.71","RTV"
"420","Ruk","Rent Income","2020","Year 1","2.35","RTV"
"421","Mit","Rent Income","2020","Year 1","2.5299999999999998","RTV"
"422","Kag","Rent Income","2020","Year 1","4.93","RTV"
"423","Kanu","Rent Income","2021","Year 1","1.75","RTV"
"424","Ruk","Rent Income","2021","Year 1","3.6","RTV"
"425","Mit","Rent Income","2021","Year 1","4.82","RTV"
"426","Rubanda","Rent Income","2021","Year 1","0.3","RTV"
"427","Kanungu","Rent Income","2022","Year 1","7.99","RTV"
"428","Rukungiri","Rent Income","2022","Year 1","1.55","RTV"
"429","Mitooma","Rent Income","2022","Year 1","3.2","RTV"
"430","Rubanda","Rent Income","2022","Year 1","2.41","RTV"
"431","Rubirizi","Rent Income","2022","Year 1","2.9","RTV"
"432","Kyenjojo","Rent Income","2022","Year 1","4.3499999999999996","RTV"
"433","Kagadi GAC","Rent Income","2022","Year 1","4.8600000000000003","RTV"
"434","Kagadi NonGAC","Rent Income","2022","Year 1","4.74","RTV"
"435","Kaliro","Rent Income","2022","Year 1","3.66","RTV"
"436","Kisoro","Rent Income","2022","Year 1",NA,"RTV"
"437","Kisoro","Rent Income","2018","Year 1","3.46","RTV"
"438","Kanungu","Rent Income","2018","Year 1","10.43","RTV"
"439","Kisoro","Rent Income","2019","Year 1","1.19","RTV"
"440","Kanu","Rent Income","2019","Year 1","4.1900000000000004","RTV"
"441","Ruk","Rent Income","2019","Year 1","3.71","RTV"
"442","Kisoro","Rent Income","2020","Year 1","6.43","RTV"
"443","Kanu","Rent Income","2020","Year 1","8.34","RTV"
"444","Ruk","Rent Income","2020","Year 1","3.62","RTV"
"445","Mitooma","Rent Income","2020","Year 1","11.34","RTV"
"446","Kagadi","Rent Income","2020","Year 1","5.24","RTV"
"447","Kanu","Rent Income","2021","Year 1","8.58","RTV"
"448","Ruk","Rent Income","2021","Year 1","6.33","RTV"
"449","Mit","Rent Income","2021","Year 1","4.1100000000000003","RTV"
"450","Rubanda","Rent Income","2021","Year 1","2.57","RTV"
"451","Kanungu","Rent Income","2022","Year 1","14.99","RTV"
"452","Rukungiri","Rent Income","2022","Year 1","3.91","RTV"
"453","Mitooma","Rent Income","2022","Year 1","6.95","RTV"
"454","Rubanda","Rent Income","2022","Year 1","11.35","RTV"
"455","Rubirizi","Rent Income","2022","Year 1","8.64","RTV"
"456","Kyenjojo","Rent Income","2022","Year 1","10.16","RTV"
"457","Kagadi GAC","Rent Income","2022","Year 1","11.2","RTV"
"458","Kagadi NonGAC","Rent Income","2022","Year 1","11.79","RTV"
"459","Kaliro","Rent Income","2022","Year 1","9.77","RTV"
"460","Kisoro","Rent Income","2022","Year 1",NA,"RTV"
"461","Kisoro","Rent Income","2018","Year 1","5.64","RTV"
"462","Kanungu","Rent Income","2018","Year 1","5.94","RTV"
"463","Kisoro","Rent Income","2019","Year 1","3.72","RTV"
"464","Kanu","Rent Income","2019","Year 1","9.24","RTV"
"465","Ruk","Rent Income","2019","Year 1","8.0500000000000007","RTV"
"466","Kisoro","Rent Income","2020","Year 1","5.8","RTV"
"467","Kanu","Rent Income","2020","Year 1","11.8","RTV"
"468","Ruk","Rent Income","2020","Year 1","5.87","RTV"
"469","Mitooma","Rent Income","2020","Year 1","4.68","RTV"
"470","Kagadi","Rent Income","2020","Year 1","3.37","RTV"
"471","Kanu","Rent Income","2021","Year 1","8.58","RTV"
"472","Ruk","Rent Income","2021","Year 1","7.77","RTV"
"473","Mit","Rent Income","2021","Year 1","5.46","RTV"
"474","Rubanda","Rent Income","2021","Year 1","7.15","RTV"
"475","Kanungu","Rent Income","2022","Year 1","13.03","RTV"
"476","Rukungiri","Rent Income","2022","Year 1","8.6","RTV"
"477","Mitooma","Rent Income","2022","Year 1","13.85","RTV"
"478","Rubanda","Rent Income","2022","Year 1","8.06","RTV"
"479","Rubirizi","Rent Income","2022","Year 1","7.87","RTV"
"480","Kyenjojo","Rent Income","2022","Year 1","17.18","RTV"
"481","Kagadi GAC","Rent Income","2022","Year 1","17.27","RTV"
"482","Kagadi NonGAC","Rent Income","2022","Year 1","13.32","RTV"
"483","Kaliro","Rent Income","2022","Year 1","7.82","RTV"
"484","Kisoro","Rent Income","2022","Year 1",NA,"RTV"
"485","Kisoro","Rent Income","2018","Year 1","3.98","RTV"
"486","Kanungu","Rent Income","2018","Year 1","8.94","RTV"
"487","Kisoro","Rent Income","2019","Year 1","3.72","RTV"
"488","Kanu","Rent Income","2019","Year 1","10.73","RTV"
"489","Ruk","Rent Income","2019","Year 1","8.7200000000000006","RTV"
"490","Kisoro","Rent Income","2020","Year 1","4.46","RTV"
"491","Kanu","Rent Income","2020","Year 1","14.08","RTV"
"492","Ruk","Rent Income","2020","Year 1","10.42","RTV"
"493","Mitooma","Rent Income","2020","Year 1","5.56","RTV"
"494","Kagadi","Rent Income","2020","Year 1","13.88","RTV"
"495","Kanu","Rent Income","2021","Year 1","9.1199200000000005","RTV"
"496","Ruk","Rent Income","2021","Year 1","9.4520227800000001","RTV"
"497","Mit","Rent Income","2021","Year 1","8.8277782200000008","RTV"
"498","Rubanda","Rent Income","2021","Year 1","8.5445010000000003","RTV"
"499","Kisoro","Rent Income","2018","Year 1","10.24","RTV"
"500","Kanungu","Rent Income","2018","Year 1","10.029999999999999","RTV"
"501","Kisoro","Rent Income","2019","Year 1","5.61","RTV"
"502","Kanu","Rent Income","2019","Year 1","6.42","RTV"
"503","Ruk","Rent Income","2019","Year 1","6.74","RTV"
"504","Kisoro","Rent Income","2020","Year 1","2.5960171000000001","RTV"
"505","Kanu","Rent Income","2020","Year 1","9.4969999999999999","RTV"
"506","Ruk","Rent Income","2020","Year 1","11.016610999999999","RTV"
"507","Mitooma","Rent Income","2020","Year 1","6.0958560000000004","RTV"
"508","Kagadi","Rent Income","2020","Year 1","15.518744549999999","RTV"
"509","Kisoro","Rent Income","2018","Year 1","9.49","RTV"
"510","Kanungu","Rent Income","2018","Year 1","10.62","RTV"
"511","Kisoro","Rent Income","2019","Year 1","3.17","RTV"
"512","Kanu","Rent Income","2019","Year 1","5.82","RTV"
"513","Ruk","Rent Income","2019","Year 1","6.17","RTV"
"514","Kisoro","Rent Income","2018","Year 1",NA,"RTV"
"515","Kanungu","Rent Income","2018","Year 1",NA,"RTV"
"516","Kisoro","Perennial Crop Income","2018","Year 1","5.56","RTV"
"517","Kanungu","Perennial Crop Income","2018","Year 1","0","RTV"
"518","Kisoro","Perennial Crop Income","2019","Year 1","4.38","RTV"
"519","Kanu","Perennial Crop Income","2019","Year 1","80.17","RTV"
"520","Ruk","Perennial Crop Income","2019","Year 1","85.92","RTV"
"521","Kisoro","Perennial Crop Income","2020","Year 1","8.8000000000000007","RTV"
"522","Kanu","Perennial Crop Income","2020","Year 1","40.130000000000003","RTV"
"523","Ruk","Perennial Crop Income","2020","Year 1","37.93","RTV"
"524","Mit","Perennial Crop Income","2020","Year 1","67.849999999999994","RTV"
"525","Kag","Perennial Crop Income","2020","Year 1","35.380000000000003","RTV"
"526","Kanu","Perennial Crop Income","2021","Year 1","41.86","RTV"
"527","Ruk","Perennial Crop Income","2021","Year 1","55.17","RTV"
"528","Mit","Perennial Crop Income","2021","Year 1","33.49","RTV"
"529","Rubanda","Perennial Crop Income","2021","Year 1","3.42","RTV"
"530","Kanungu","Perennial Crop Income","2022","Year 1","71.14","RTV"
"531","Rukungiri","Perennial Crop Income","2022","Year 1","37.409999999999997","RTV"
"532","Mitooma","Perennial Crop Income","2022","Year 1","55.64","RTV"
"533","Rubanda","Perennial Crop Income","2022","Year 1","12.31","RTV"
"534","Rubirizi","Perennial Crop Income","2022","Year 1","61.73","RTV"
"535","Kyenjojo","Perennial Crop Income","2022","Year 1","21.57","RTV"
"536","Kagadi GAC","Perennial Crop Income","2022","Year 1","19.73","RTV"
"537","Kagadi NonGAC","Perennial Crop Income","2022","Year 1","25.12","RTV"
"538","Kaliro","Perennial Crop Income","2022","Year 1","3.49","RTV"
"539","Kisoro","Perennial Crop Income","2022","Year 1",NA,"RTV"
"540","Kisoro","Perennial Crop Income","2018","Year 1","111.91","RTV"
"541","Kanungu","Perennial Crop Income","2018","Year 1","70.78","RTV"
"542","Kisoro","Perennial Crop Income","2019","Year 1","30.85","RTV"
"543","Kanu","Perennial Crop Income","2019","Year 1","129.43","RTV"
"544","Ruk","Perennial Crop Income","2019","Year 1","83.45","RTV"
"545","Kisoro","Perennial Crop Income","2020","Year 1","60.98","RTV"
"546","Kanu","Perennial Crop Income","2020","Year 1","98.15","RTV"
"547","Ruk","Perennial Crop Income","2020","Year 1","64.34","RTV"
"548","Mitooma","Perennial Crop Income","2020","Year 1","146.47999999999999","RTV"
"549","Kagadi","Perennial Crop Income","2020","Year 1","67.09","RTV"
"550","Kanu","Perennial Crop Income","2021","Year 1","154.16999999999999","RTV"
"551","Ruk","Perennial Crop Income","2021","Year 1","143.1","RTV"
"552","Mit","Perennial Crop Income","2021","Year 1","126.15","RTV"
"553","Rubanda","Perennial Crop Income","2021","Year 1","14.56","RTV"
"554","Kanungu","Perennial Crop Income","2022","Year 1","190.79","RTV"
"555","Rukungiri","Perennial Crop Income","2022","Year 1","126.95","RTV"
"556","Mitooma","Perennial Crop Income","2022","Year 1","122.37","RTV"
"557","Rubanda","Perennial Crop Income","2022","Year 1","62.07","RTV"
"558","Rubirizi","Perennial Crop Income","2022","Year 1","128.88","RTV"
"559","Kyenjojo","Perennial Crop Income","2022","Year 1","60.2","RTV"
"560","Kagadi GAC","Perennial Crop Income","2022","Year 1","61.07","RTV"
"561","Kagadi NonGAC","Perennial Crop Income","2022","Year 1","68.349999999999994","RTV"
"562","Kaliro","Perennial Crop Income","2022","Year 1","8.59","RTV"
"563","Kisoro","Perennial Crop Income","2022","Year 1",NA,"RTV"
"564","Kisoro","Perennial Crop Income","2018","Year 1","68.56","RTV"
"565","Kanungu","Perennial Crop Income","2018","Year 1","76.31","RTV"
"566","Kisoro","Perennial Crop Income","2019","Year 1","80.489999999999995","RTV"
"567","Kanu","Perennial Crop Income","2019","Year 1","108.73","RTV"
"568","Ruk","Perennial Crop Income","2019","Year 1","165.7","RTV"
"569","Kisoro","Perennial Crop Income","2020","Year 1","94.63","RTV"
"570","Kanu","Perennial Crop Income","2020","Year 1","145.84","RTV"
"571","Ruk","Perennial Crop Income","2020","Year 1","108.49","RTV"
"572","Mitooma","Perennial Crop Income","2020","Year 1","197.67","RTV"
"573","Kagadi","Perennial Crop Income","2020","Year 1","69.64","RTV"
"574","Kanu","Perennial Crop Income","2021","Year 1","202.31","RTV"
"575","Ruk","Perennial Crop Income","2021","Year 1","188.4","RTV"
"576","Mit","Perennial Crop Income","2021","Year 1","172.76","RTV"
"577","Rubanda","Perennial Crop Income","2021","Year 1","25.74","RTV"
"578","Kanungu","Perennial Crop Income","2022","Year 1","209.87","RTV"
"579","Rukungiri","Perennial Crop Income","2022","Year 1","216","RTV"
"580","Mitooma","Perennial Crop Income","2022","Year 1","221.88","RTV"
"581","Rubanda","Perennial Crop Income","2022","Year 1","83.05","RTV"
"582","Rubirizi","Perennial Crop Income","2022","Year 1","174.94","RTV"
"583","Kyenjojo","Perennial Crop Income","2022","Year 1","104.48","RTV"
"584","Kagadi GAC","Perennial Crop Income","2022","Year 1","120.7","RTV"
"585","Kagadi NonGAC","Perennial Crop Income","2022","Year 1","126.55","RTV"
"586","Kaliro","Perennial Crop Income","2022","Year 1","50.14","RTV"
"587","Kisoro","Perennial Crop Income","2022","Year 1",NA,"RTV"
"588","Kisoro","Perennial Crop Income","2018","Year 1","109.96","RTV"
"589","Kanungu","Perennial Crop Income","2018","Year 1","113.95","RTV"
"590","Kisoro","Perennial Crop Income","2019","Year 1","103.05","RTV"
"591","Kanu","Perennial Crop Income","2019","Year 1","158.69999999999999","RTV"
"592","Ruk","Perennial Crop Income","2019","Year 1","177.93","RTV"
"593","Kisoro","Perennial Crop Income","2020","Year 1","139.56","RTV"
"594","Kanu","Perennial Crop Income","2020","Year 1","210.85","RTV"
"595","Ruk","Perennial Crop Income","2020","Year 1","214.84","RTV"
"596","Mitooma","Perennial Crop Income","2020","Year 1","261.95999999999998","RTV"
"597","Kagadi","Perennial Crop Income","2020","Year 1","123.89","RTV"
"598","Kanu","Perennial Crop Income","2021","Year 1","315.04705999999999","RTV"
"599","Ruk","Perennial Crop Income","2021","Year 1","305.62204657000001","RTV"
"600","Mit","Perennial Crop Income","2021","Year 1","271.4363985","RTV"
"601","Rubanda","Perennial Crop Income","2021","Year 1","67.687374000000005","RTV"
"602","Kisoro","Perennial Crop Income","2018","Year 1","121.62","RTV"
"603","Kanungu","Perennial Crop Income","2018","Year 1","143.62","RTV"
"604","Kisoro","Perennial Crop Income","2019","Year 1","114.46","RTV"
"605","Kanu","Perennial Crop Income","2019","Year 1","187.54","RTV"
"606","Ruk","Perennial Crop Income","2019","Year 1","214.16","RTV"
"607","Kisoro","Perennial Crop Income","2020","Year 1","185.9320768","RTV"
"608","Kanu","Perennial Crop Income","2020","Year 1","275.95267899999999","RTV"
"609","Ruk","Perennial Crop Income","2020","Year 1","270.11587800000001","RTV"
"610","Mitooma","Perennial Crop Income","2020","Year 1","336.04201799999998","RTV"
"611","Kagadi","Perennial Crop Income","2020","Year 1","166.19242745","RTV"
"612","Kisoro","Perennial Crop Income","2018","Year 1","129.13999999999999","RTV"
"613","Kanungu","Perennial Crop Income","2018","Year 1","212.96","RTV"
"614","Kisoro","Perennial Crop Income","2019","Year 1","132.16999999999999","RTV"
"615","Kanu","Perennial Crop Income","2019","Year 1","234.12","RTV"
"616","Ruk","Perennial Crop Income","2019","Year 1","242.18","RTV"
"617","Kisoro","Perennial Crop Income","2018","Year 1",NA,"RTV"
"618","Kanungu","Perennial Crop Income","2018","Year 1",NA,"RTV"
"619","Kisoro","Seasonal Crop Income","2018","Year 1","53.6","RTV"
"620","Kanungu","Seasonal Crop Income","2018","Year 1","88.33","RTV"
"621","Kisoro","Seasonal Crop Income","2019","Year 1","121.17","RTV"
"622","Kanu","Seasonal Crop Income","2019","Year 1","52.16","RTV"
"623","Ruk","Seasonal Crop Income","2019","Year 1","37.75","RTV"
"624","Kisoro","Seasonal Crop Income","2020","Year 1","75.03","RTV"
"625","Kanu","Seasonal Crop Income","2020","Year 1","47.38","RTV"
"626","Ruk","Seasonal Crop Income","2020","Year 1","17.18","RTV"
"627","Mit","Seasonal Crop Income","2020","Year 1","17.260000000000002","RTV"
"628","Kag","Seasonal Crop Income","2020","Year 1","129.66","RTV"
"629","Kanu","Seasonal Crop Income","2021","Year 1","13.64","RTV"
"630","Ruk","Seasonal Crop Income","2021","Year 1","42.67","RTV"
"631","Mit","Seasonal Crop Income","2021","Year 1","35.130000000000003","RTV"
"632","Rubanda","Seasonal Crop Income","2021","Year 1","77.319999999999993","RTV"
"633","Kanungu","Seasonal Crop Income","2022","Year 1","33.03","RTV"
"634","Rukungiri","Seasonal Crop Income","2022","Year 1","25.54","RTV"
"635","Mitooma","Seasonal Crop Income","2022","Year 1","15.46","RTV"
"636","Rubanda","Seasonal Crop Income","2022","Year 1","92.11","RTV"
"637","Rubirizi","Seasonal Crop Income","2022","Year 1","56.97","RTV"
"638","Kyenjojo","Seasonal Crop Income","2022","Year 1","97.1","RTV"
"639","Kagadi GAC","Seasonal Crop Income","2022","Year 1","132.51","RTV"
"640","Kagadi NonGAC","Seasonal Crop Income","2022","Year 1","79.8","RTV"
"641","Kaliro","Seasonal Crop Income","2022","Year 1","51.75","RTV"
"642","Kisoro","Seasonal Crop Income","2022","Year 1",NA,"RTV"
"643","Kisoro","Seasonal Crop Income","2018","Year 1","40.409999999999997","RTV"
"644","Kanungu","Seasonal Crop Income","2018","Year 1","89.8","RTV"
"645","Kisoro","Seasonal Crop Income","2019","Year 1","181.98","RTV"
"646","Kanu","Seasonal Crop Income","2019","Year 1","84.54","RTV"
"647","Ruk","Seasonal Crop Income","2019","Year 1","131.34","RTV"
"648","Kisoro","Seasonal Crop Income","2020","Year 1","243.28","RTV"
"649","Kanu","Seasonal Crop Income","2020","Year 1","145.12","RTV"
"650","Ruk","Seasonal Crop Income","2020","Year 1","101.22","RTV"
"651","Mitooma","Seasonal Crop Income","2020","Year 1","30.78","RTV"
"652","Kagadi","Seasonal Crop Income","2020","Year 1","224.07","RTV"
"653","Kanu","Seasonal Crop Income","2021","Year 1","98.72","RTV"
"654","Ruk","Seasonal Crop Income","2021","Year 1","74.25","RTV"
"655","Mit","Seasonal Crop Income","2021","Year 1","43.01","RTV"
"656","Rubanda","Seasonal Crop Income","2021","Year 1","132.44999999999999","RTV"
"657","Kanungu","Seasonal Crop Income","2022","Year 1","66.87","RTV"
"658","Rukungiri","Seasonal Crop Income","2022","Year 1","132.41","RTV"
"659","Mitooma","Seasonal Crop Income","2022","Year 1","67.72","RTV"
"660","Rubanda","Seasonal Crop Income","2022","Year 1","167.47","RTV"
"661","Rubirizi","Seasonal Crop Income","2022","Year 1","126.79","RTV"
"662","Kyenjojo","Seasonal Crop Income","2022","Year 1","192.33","RTV"
"663","Kagadi GAC","Seasonal Crop Income","2022","Year 1","268.08999999999997","RTV"
"664","Kagadi NonGAC","Seasonal Crop Income","2022","Year 1","204.23","RTV"
"665","Kaliro","Seasonal Crop Income","2022","Year 1","95.93","RTV"
"666","Kisoro","Seasonal Crop Income","2022","Year 1",NA,"RTV"
"667","Kisoro","Seasonal Crop Income","2018","Year 1","117.2","RTV"
"668","Kanungu","Seasonal Crop Income","2018","Year 1","83.67","RTV"
"669","Kisoro","Seasonal Crop Income","2019","Year 1","337.06","RTV"
"670","Kanu","Seasonal Crop Income","2019","Year 1","224.97","RTV"
"671","Ruk","Seasonal Crop Income","2019","Year 1","191.15","RTV"
"672","Kisoro","Seasonal Crop Income","2020","Year 1","238.09","RTV"
"673","Kanu","Seasonal Crop Income","2020","Year 1","190.68","RTV"
"674","Ruk","Seasonal Crop Income","2020","Year 1","159.07","RTV"
"675","Mitooma","Seasonal Crop Income","2020","Year 1","58.61","RTV"
"676","Kagadi","Seasonal Crop Income","2020","Year 1","250.7","RTV"
"677","Kanu","Seasonal Crop Income","2021","Year 1","149.66","RTV"
"678","Ruk","Seasonal Crop Income","2021","Year 1","126.95","RTV"
"679","Mit","Seasonal Crop Income","2021","Year 1","82.98","RTV"
"680","Rubanda","Seasonal Crop Income","2021","Year 1","254.82","RTV"
"681","Kanungu","Seasonal Crop Income","2022","Year 1","147.47999999999999","RTV"
"682","Rukungiri","Seasonal Crop Income","2022","Year 1","186.55","RTV"
"683","Mitooma","Seasonal Crop Income","2022","Year 1","88.67","RTV"
"684","Rubanda","Seasonal Crop Income","2022","Year 1","243.12","RTV"
"685","Rubirizi","Seasonal Crop Income","2022","Year 1","214.57","RTV"
"686","Kyenjojo","Seasonal Crop Income","2022","Year 1","272.54000000000002","RTV"
"687","Kagadi GAC","Seasonal Crop Income","2022","Year 1","330.76","RTV"
"688","Kagadi NonGAC","Seasonal Crop Income","2022","Year 1","341.69","RTV"
"689","Kaliro","Seasonal Crop Income","2022","Year 1","182.66","RTV"
"690","Kisoro","Seasonal Crop Income","2022","Year 1",NA,"RTV"
"691","Kisoro","Seasonal Crop Income","2018","Year 1","143.5","RTV"
"692","Kanungu","Seasonal Crop Income","2018","Year 1","164.9","RTV"
"693","Kisoro","Seasonal Crop Income","2019","Year 1","444.7","RTV"
"694","Kanu","Seasonal Crop Income","2019","Year 1","196.19","RTV"
"695","Ruk","Seasonal Crop Income","2019","Year 1","225.48","RTV"
"696","Kisoro","Seasonal Crop Income","2020","Year 1","322.38","RTV"
"697","Kanu","Seasonal Crop Income","2020","Year 1","216.15","RTV"
"698","Ruk","Seasonal Crop Income","2020","Year 1","206.94","RTV"
"699","Mitooma","Seasonal Crop Income","2020","Year 1","73.41","RTV"
"700","Kagadi","Seasonal Crop Income","2020","Year 1","321.17","RTV"
"701","Kanu","Seasonal Crop Income","2021","Year 1","289.81601999999998","RTV"
"702","Ruk","Seasonal Crop Income","2021","Year 1","197.08377952999999","RTV"
"703","Mit","Seasonal Crop Income","2021","Year 1","210.01452739999999","RTV"
"704","Rubanda","Seasonal Crop Income","2021","Year 1","369.31070099999999","RTV"
"705","Kisoro","Seasonal Crop Income","2018","Year 1","230.89","RTV"
"706","Kanungu","Seasonal Crop Income","2018","Year 1","186.32","RTV"
"707","Kisoro","Seasonal Crop Income","2019","Year 1","536.49","RTV"
"708","Kanu","Seasonal Crop Income","2019","Year 1","237.96","RTV"
"709","Ruk","Seasonal Crop Income","2019","Year 1","249.89","RTV"
"710","Kisoro","Seasonal Crop Income","2020","Year 1","343.06069230000003","RTV"
"711","Kanu","Seasonal Crop Income","2020","Year 1","247.97608199999999","RTV"
"712","Ruk","Seasonal Crop Income","2020","Year 1","283.83338600000002","RTV"
"713","Mitooma","Seasonal Crop Income","2020","Year 1","95.547134999999997","RTV"
"714","Kagadi","Seasonal Crop Income","2020","Year 1","414.65241623999998","RTV"
"715","Kisoro","Seasonal Crop Income","2018","Year 1","262.02999999999997","RTV"
"716","Kanungu","Seasonal Crop Income","2018","Year 1","231.83","RTV"
"717","Kisoro","Seasonal Crop Income","2019","Year 1","566.76","RTV"
"718","Kanu","Seasonal Crop Income","2019","Year 1","275.36","RTV"
"719","Ruk","Seasonal Crop Income","2019","Year 1","302.12","RTV"
"720","Kisoro","Seasonal Crop Income","2018","Year 1",NA,"RTV"
"721","Kanungu","Seasonal Crop Income","2018","Year 2",NA,"RTV"
"722","Kisoro","Season1 Value","2018","Year 2","116.03","RTV"
"723","Kanungu","Season1 Value","2018","Year 2","85.6","RTV"
"724","Kisoro","Season1 Value","2019","Year 2","126.45","RTV"
"725","Kanu","Season1 Value","2019","Year 2","77.38","RTV"
"726","Ruk","Season1 Value","2019","Year 2","67.3","RTV"
"727","Kisoro","Season1 Value","2020","Year 2","97.67","RTV"
"728","Kanu","Season1 Value","2020","Year 2","50.21","RTV"
"729","Ruk","Season1 Value","2020","Year 2","44.92","RTV"
"730","Mit","Season1 Value","2020","Year 2","44.15","RTV"
"731","Kag","Season1 Value","2020","Year 2","131.47","RTV"
"732","Kanu","Season1 Value","2021","Year 2","76.88","RTV"
"733","Ruk","Season1 Value","2021","Year 2","82.89","RTV"
"734","Mit","Season1 Value","2021","Year 2","70.569999999999993","RTV"
"735","Rubanda","Season1 Value","2021","Year 2","120.25","RTV"
"736","Kanungu","Season1 Value","2022","Year 2","67.58","RTV"
"737","Rukungiri","Season1 Value","2022","Year 2","49.24","RTV"
"738","Mitooma","Season1 Value","2022","Year 2","46.18","RTV"
"739","Rubanda","Season1 Value","2022","Year 2","120.5","RTV"
"740","Rubirizi","Season1 Value","2022","Year 2","64.19","RTV"
"741","Kyenjojo","Season1 Value","2022","Year 2","121.3","RTV"
"742","Kagadi GAC","Season1 Value","2022","Year 2","125.94","RTV"
"743","Kagadi NonGAC","Season1 Value","2022","Year 2","78.94","RTV"
"744","Kaliro","Season1 Value","2022","Year 2","107","RTV"
"745","Kisoro","Season1 Value","2022","Year 2",NA,"RTV"
"746","Kisoro","Season1 Value","2018","Year 2","156.16","RTV"
"747","Kanungu","Season1 Value","2018","Year 2","102.89","RTV"
"748","Kisoro","Season1 Value","2019","Year 2","170.51","RTV"
"749","Kanu","Season1 Value","2019","Year 2","125.64","RTV"
"750","Ruk","Season1 Value","2019","Year 2","153.21","RTV"
"751","Kisoro","Season1 Value","2020","Year 2","286.49","RTV"
"752","Kanu","Season1 Value","2020","Year 2","181.84","RTV"
"753","Ruk","Season1 Value","2020","Year 2","173.06","RTV"
"754","Mitooma","Season1 Value","2020","Year 2","99.99","RTV"
"755","Kagadi","Season1 Value","2020","Year 2","216.48","RTV"
"756","Kanu","Season1 Value","2021","Year 2","150.96","RTV"
"757","Ruk","Season1 Value","2021","Year 2","104.45","RTV"
"758","Mit","Season1 Value","2021","Year 2","79.099999999999994","RTV"
"759","Rubanda","Season1 Value","2021","Year 2","147.57","RTV"
"760","Kanungu","Season1 Value","2022","Year 2","131.16","RTV"
"761","Rukungiri","Season1 Value","2022","Year 2","196.78","RTV"
"762","Mitooma","Season1 Value","2022","Year 2","149.32","RTV"
"763","Rubanda","Season1 Value","2022","Year 2","228.45","RTV"
"764","Rubirizi","Season1 Value","2022","Year 2","164.77","RTV"
"765","Kyenjojo","Season1 Value","2022","Year 2","217.24","RTV"
"766","Kagadi GAC","Season1 Value","2022","Year 2","232.32","RTV"
"767","Kagadi NonGAC","Season1 Value","2022","Year 2","197.56","RTV"
"768","Kaliro","Season1 Value","2022","Year 2","162.97999999999999","RTV"
"769","Kisoro","Season1 Value","2022","Year 2",NA,"RTV"
"770","Kisoro","Season1 Value","2018","Year 2","161.06","RTV"
"771","Kanungu","Season1 Value","2018","Year 2","126.94","RTV"
"772","Kisoro","Season1 Value","2019","Year 2","319.01","RTV"
"773","Kanu","Season1 Value","2019","Year 2","247.18","RTV"
"774","Ruk","Season1 Value","2019","Year 2","219.09","RTV"
"775","Kisoro","Season1 Value","2020","Year 2","234.75","RTV"
"776","Kanu","Season1 Value","2020","Year 2","199.72","RTV"
"777","Ruk","Season1 Value","2020","Year 2","180.11","RTV"
"778","Mitooma","Season1 Value","2020","Year 2","99.13","RTV"
"779","Kagadi","Season1 Value","2020","Year 2","244.46","RTV"
"780","Kanu","Season1 Value","2021","Year 2","222.68","RTV"
"781","Ruk","Season1 Value","2021","Year 2","181.34","RTV"
"782","Mit","Season1 Value","2021","Year 2","169.32","RTV"
"783","Rubanda","Season1 Value","2021","Year 2","295.72000000000003","RTV"
"784","Kanungu","Season1 Value","2022","Year 2","223.36","RTV"
"785","Rukungiri","Season1 Value","2022","Year 2","217.13","RTV"
"786","Mitooma","Season1 Value","2022","Year 2","175.45","RTV"
"787","Rubanda","Season1 Value","2022","Year 2","300.97000000000003","RTV"
"788","Rubirizi","Season1 Value","2022","Year 2","222.62","RTV"
"789","Kyenjojo","Season1 Value","2022","Year 2","286.23","RTV"
"790","Kagadi GAC","Season1 Value","2022","Year 2","334.91","RTV"
"791","Kagadi NonGAC","Season1 Value","2022","Year 2","296.2","RTV"
"792","Kaliro","Season1 Value","2022","Year 2","238.04","RTV"
"793","Kisoro","Season1 Value","2022","Year 2",NA,"RTV"
"794","Kisoro","Season1 Value","2018","Year 2","190.6","RTV"
"795","Kanungu","Season1 Value","2018","Year 2","182.59","RTV"
"796","Kisoro","Season1 Value","2019","Year 2","373.87","RTV"
"797","Kanu","Season1 Value","2019","Year 2","231.3","RTV"
"798","Ruk","Season1 Value","2019","Year 2","232.55","RTV"
"799","Kisoro","Season1 Value","2020","Year 2","288.33","RTV"
"800","Kanu","Season1 Value","2020","Year 2","292.87","RTV"
"801","Ruk","Season1 Value","2020","Year 2","236.05","RTV"
"802","Mitooma","Season1 Value","2020","Year 2","169.69","RTV"
"803","Kagadi","Season1 Value","2020","Year 2","358.79","RTV"
"804","Kanu","Season1 Value","2021","Year 2","282.97904999999997","RTV"
"805","Ruk","Season1 Value","2021","Year 2","226.75050994","RTV"
